uniform CR, uniform SR, ucb CR, ucb SR, epsilon CR, epsilon SR
0.8,0.8,0.8,0.8,0.64,0.8,
1.6,0.8,1.6,0.8,1.44,0.8,
2.4,0.8,2.4,0.8,2.24,0.8,
3.2,0.8,3.2,0.8,3.04,0.8,
4.0,0.8,4.0,0.8,3.84,0.8,
4.8,0.8,4.8,0.8,4.64,0.8,
5.6,0.8,5.6,0.8,5.44,0.8,
6.4,0.8,6.4,0.8,6.08,0.8,
6.4,0.8,7.2,0.8,6.88,0.64,
7.2,0.0,7.2,0.16,7.68,0.64,
8.0,0.0,7.36,0.16,8.32,0.64,
8.8,0.0,7.52,0.16,9.12,0.64,
9.6,0.0,8.32,0.16,9.76,0.64,
10.4,0.0,9.12,0.16,10.24,0.48,
11.2,0.0,9.92,0.16,10.72,0.48,
12.0,0.0,10.72,0.16,11.36,0.32,
12.8,0.0,11.52,0.16,12.0,0.32,
13.6,0.0,12.32,0.16,12.48,0.32,
13.6,0.0,13.12,0.16,12.64,0.32,
14.4,0.0,13.76,0.0,13.12,0.16,
15.2,0.0,14.4,0.0,13.6,0.16,
16.0,0.0,14.4,0.0,14.4,0.16,
16.8,0.0,14.4,0.0,15.2,0.16,
17.6,0.0,14.4,0.0,15.68,0.16,
18.4,0.0,14.72,0.0,16.0,0.16,
19.2,0.0,15.2,0.0,16.48,0.16,
20.0,0.0,15.84,0.0,16.96,0.16,
20.8,0.0,16.64,0.0,17.44,0.16,
20.8,0.0,17.44,0.0,17.92,0.16,
21.6,0.0,18.24,0.0,18.56,0.16,
22.4,0.0,19.04,0.0,19.2,0.16,
23.2,0.0,19.84,0.0,19.84,0.0,
24.0,0.0,20.64,0.0,20.32,0.0,
24.8,0.0,21.12,0.0,20.8,0.0,
25.6,0.0,21.6,0.0,20.96,0.0,
26.4,0.0,21.6,0.0,21.28,0.0,
27.2,0.0,21.6,0.0,21.92,0.0,
28.0,0.0,21.6,0.0,22.4,0.0,
28.0,0.0,21.76,0.0,22.88,0.0,
28.8,0.0,21.92,0.0,23.2,0.0,
29.6,0.0,22.4,0.0,23.36,0.0,
30.4,0.0,23.2,0.0,23.68,0.0,
31.2,0.0,23.36,0.0,24.0,0.0,
32.0,0.0,24.16,0.0,24.32,0.0,
32.8,0.0,24.96,0.0,24.8,0.0,
33.6,0.0,25.6,0.0,25.12,0.0,
34.4,0.0,26.4,0.0,25.76,0.0,
35.2,0.0,27.04,0.0,26.4,0.0,
35.2,0.0,27.52,0.0,26.88,0.0,
36.0,0.0,28.16,0.0,26.88,0.0,
36.8,0.0,28.48,0.0,27.2,0.0,
37.6,0.0,28.8,0.0,27.2,0.0,
38.4,0.0,28.8,0.0,27.52,0.0,
39.2,0.0,28.8,0.0,28.0,0.0,
40.0,0.0,28.8,0.0,28.32,0.0,
40.8,0.0,28.96,0.0,28.8,0.0,
41.6,0.0,28.96,0.0,29.28,0.0,
42.4,0.0,29.44,0.0,29.44,0.0,
42.4,0.0,29.92,0.0,29.92,0.0,
43.2,0.0,30.24,0.0,30.08,0.0,
44.0,0.0,30.72,0.0,30.24,0.0,
44.8,0.0,31.52,0.0,30.56,0.0,
45.6,0.0,32.0,0.0,30.72,0.0,
46.4,0.0,32.64,0.0,30.72,0.0,
47.2,0.0,33.44,0.0,31.2,0.0,
48.0,0.0,34.08,0.0,31.84,0.0,
48.8,0.0,34.88,0.0,32.0,0.0,
49.6,0.0,35.2,0.0,32.48,0.0,
49.6,0.0,35.52,0.0,32.96,0.0,
50.4,0.0,35.84,0.0,32.96,0.0,
51.2,0.0,36.0,0.0,33.12,0.0,
52.0,0.0,36.0,0.0,33.6,0.0,
52.8,0.0,36.0,0.0,33.92,0.0,
53.6,0.0,36.16,0.0,34.24,0.0,
54.4,0.0,36.32,0.0,34.4,0.0,
55.2,0.0,36.48,0.0,35.04,0.0,
56.0,0.0,36.64,0.0,35.52,0.0,
