uniform CR, uniform SR, ucb CR, ucb SR, epsilon CR, epsilon SR
6.225,0.013,5.913,0.034,6.241,0.032,
6.28,0.013,5.979,0.034,6.276,0.031,
6.33,0.013,6.04,0.034,6.309,0.026,
6.375,0.013,6.077,0.034,6.335,0.026,
6.415,0.013,6.139,0.034,6.381,0.032,
6.45,0.021,6.162,0.034,6.44,0.032,
6.48,0.021,6.221,0.034,6.475,0.028,
6.505,0.025,6.282,0.034,6.516,0.026,
6.525,0.025,6.328,0.034,6.574,0.026,
6.54,0.025,6.407,0.034,6.615,0.026,
6.55,0.025,6.457,0.034,6.665,0.026,
6.555,0.021,6.515,0.034,6.725,0.026,
6.555,0.021,6.579,0.034,6.763,0.026,
6.65,0.021,6.633,0.034,6.814,0.026,
6.74,0.021,6.679,0.034,6.86,0.026,
6.825,0.021,6.718,0.034,6.908,0.024,
6.905,0.021,6.744,0.034,6.927,0.026,
6.98,0.021,6.762,0.034,6.939,0.024,
7.05,0.021,6.791,0.034,6.98,0.024,
7.115,0.021,6.829,0.034,7.006,0.024,
7.175,0.021,6.863,0.034,7.044,0.024,
7.23,0.021,6.911,0.034,7.072,0.024,
7.28,0.021,6.955,0.034,7.123,0.024,
7.325,0.021,7.007,0.032,7.16,0.027,
7.365,0.021,7.051,0.032,7.209,0.032,
7.4,0.021,7.091,0.032,7.277,0.029,
7.43,0.021,7.163,0.032,7.324,0.029,
7.455,0.021,7.194,0.03,7.36,0.024,
7.475,0.021,7.226,0.03,7.393,0.031,
7.49,0.021,7.3,0.03,7.434,0.034,
7.5,0.021,7.368,0.03,7.475,0.034,
7.505,0.021,7.422,0.03,7.495,0.031,
7.505,0.021,7.496,0.03,7.54,0.024,
7.6,0.013,7.561,0.03,7.56,0.027,
7.69,0.013,7.61,0.03,7.6,0.024,
7.775,0.013,7.66,0.03,7.627,0.024,
7.855,0.013,7.699,0.03,7.669,0.022,
7.93,0.013,7.73,0.03,7.702,0.019,
8.0,0.013,7.753,0.03,7.732,0.019,
8.065,0.013,7.788,0.03,7.777,0.026,
8.125,0.013,7.82,0.03,7.795,0.026,
8.18,0.013,7.858,0.03,7.829,0.024,
8.23,0.013,7.908,0.03,7.852,0.024,
8.275,0.013,7.931,0.03,7.882,0.029,
8.315,0.013,7.975,0.03,7.918,0.027,
8.35,0.013,8.008,0.03,7.935,0.03,
8.38,0.013,8.061,0.027,7.984,0.027,
8.405,0.013,8.083,0.026,8.01,0.022,
8.425,0.013,8.135,0.026,8.035,0.029,
8.44,0.013,8.192,0.026,8.094,0.029,
8.45,0.013,8.243,0.026,8.128,0.024,
8.455,0.018,8.298,0.026,8.154,0.026,
8.455,0.018,8.365,0.026,8.178,0.024,
8.55,0.018,8.428,0.026,8.2,0.026,
8.64,0.018,8.504,0.026,8.245,0.026,
8.725,0.018,8.577,0.026,8.278,0.026,
8.805,0.018,8.635,0.026,8.317,0.024,
8.88,0.018,8.686,0.026,8.373,0.024,
8.95,0.018,8.727,0.026,8.401,0.024,
9.015,0.018,8.753,0.026,8.438,0.024,
9.075,0.018,8.783,0.029,8.464,0.024,
9.13,0.018,8.808,0.029,8.517,0.024,
9.18,0.018,8.833,0.029,8.549,0.024,
9.225,0.018,8.861,0.029,8.591,0.024,
9.265,0.018,8.885,0.029,8.649,0.026,
9.3,0.018,8.931,0.029,8.687,0.024,
9.33,0.013,8.974,0.029,8.718,0.024,
9.355,0.013,9.017,0.029,8.769,0.024,
9.375,0.013,9.042,0.029,8.828,0.024,
9.39,0.013,9.079,0.029,8.852,0.024,
9.4,0.013,9.149,0.029,8.881,0.024,
