uniform CR, uniform SR, ucb CR, ucb SR, epsilon CR, epsilon SR
0.05,0.05,0.05,0.05,0.05,0.05,
0.1,0.05,0.1,0.05,0.09,0.05,
0.15,0.05,0.15,0.05,0.12,0.05,
0.2,0.05,0.2,0.05,0.17,0.04,
0.25,0.05,0.25,0.05,0.22,0.04,
0.3,0.05,0.3,0.05,0.26,0.04,
0.35,0.05,0.35,0.05,0.3,0.04,
0.4,0.05,0.4,0.05,0.34,0.04,
0.4,0.05,0.45,0.05,0.39,0.04,
0.45,0.04,0.45,0.03,0.43,0.04,
0.5,0.04,0.48,0.03,0.47,0.04,
0.55,0.04,0.53,0.03,0.5,0.04,
0.6,0.04,0.58,0.03,0.55,0.04,
0.65,0.04,0.63,0.03,0.6,0.04,
0.7,0.04,0.68,0.03,0.65,0.04,
0.75,0.04,0.73,0.03,0.69,0.04,
0.8,0.04,0.78,0.03,0.74,0.04,
0.85,0.04,0.83,0.03,0.78,0.04,
0.85,0.04,0.88,0.03,0.83,0.04,
0.9,0.03,0.9,0.03,0.87,0.04,
0.95,0.03,0.93,0.03,0.91,0.04,
1.0,0.03,0.98,0.03,0.95,0.04,
1.05,0.03,1.03,0.03,1.0,0.04,
1.1,0.03,1.08,0.03,1.05,0.04,
1.15,0.03,1.13,0.03,1.1,0.04,
1.2,0.03,1.18,0.03,1.15,0.04,
1.25,0.03,1.23,0.03,1.19,0.04,
1.3,0.03,1.28,0.03,1.23,0.04,
1.3,0.03,1.33,0.03,1.27,0.04,
1.35,0.03,1.35,0.03,1.31,0.04,
1.4,0.03,1.38,0.03,1.35,0.04,
1.45,0.03,1.43,0.03,1.4,0.04,
1.5,0.03,1.48,0.03,1.45,0.04,
1.55,0.03,1.53,0.03,1.5,0.04,
1.6,0.03,1.58,0.03,1.55,0.04,
1.65,0.03,1.63,0.03,1.59,0.04,
1.7,0.03,1.68,0.03,1.64,0.04,
1.75,0.03,1.73,0.03,1.69,0.04,
1.75,0.03,1.78,0.03,1.73,0.04,
1.8,0.02,1.8,0.02,1.76,0.04,
1.85,0.02,1.82,0.02,1.8,0.03,
