uniform CR, uniform SR, ucb CR, ucb SR, epsilon CR, epsilon SR
1.9,0.02,1.84,0.02,1.84,0.03,
1.95,0.02,1.88,0.02,1.87,0.03,
2.0,0.02,1.93,0.02,1.92,0.03,
2.05,0.02,1.98,0.02,1.95,0.03,
2.1,0.02,2.03,0.02,2.0,0.03,
2.15,0.02,2.08,0.02,2.04,0.03,
2.2,0.02,2.13,0.02,2.09,0.03,
2.2,0.02,2.18,0.02,2.12,0.03,
2.25,0.02,2.21,0.02,2.15,0.03,
2.3,0.02,2.26,0.02,2.19,0.03,
2.35,0.02,2.29,0.02,2.24,0.03,
2.4,0.02,2.33,0.02,2.28,0.03,
2.45,0.02,2.38,0.02,2.33,0.03,
2.5,0.02,2.43,0.02,2.37,0.03,
2.55,0.02,2.48,0.02,2.4,0.02,
2.6,0.02,2.53,0.02,2.44,0.02,
2.65,0.02,2.58,0.02,2.46,0.02,
2.65,0.02,2.63,0.02,2.48,0.02,
2.7,0.02,2.66,0.02,2.51,0.02,
2.75,0.02,2.71,0.02,2.55,0.02,
2.8,0.02,2.74,0.02,2.6,0.02,
2.85,0.02,2.78,0.02,2.62,0.02,
2.9,0.02,2.83,0.02,2.66,0.02,
2.95,0.02,2.88,0.02,2.69,0.02,
3.0,0.02,2.93,0.02,2.73,0.02,
3.05,0.02,2.98,0.02,2.76,0.02,
3.1,0.02,3.03,0.02,2.79,0.02,
3.1,0.02,3.08,0.02,2.83,0.02,
3.15,0.02,3.11,0.02,2.87,0.02,
3.2,0.02,3.16,0.02,2.91,0.02,
3.25,0.02,3.19,0.02,2.95,0.02,
3.3,0.02,3.22,0.02,2.98,0.02,
3.35,0.02,3.27,0.02,3.02,0.02,
3.4,0.02,3.32,0.02,3.05,0.02,
3.45,0.02,3.37,0.02,3.09,0.01,
3.5,0.02,3.42,0.02,3.12,0.01,
3.55,0.02,3.47,0.02,3.15,0.01,
3.55,0.02,3.52,0.02,3.2,0.01,
3.6,0.01,3.55,0.02,3.25,0.01,
3.65,0.01,3.6,0.02,3.3,0.01,
3.7,0.01,3.64,0.02,3.34,0.01,
3.75,0.01,3.67,0.02,3.36,0.01,
3.8,0.01,3.71,0.02,3.38,0.01,
3.85,0.01,3.75,0.02,3.4,0.01,
3.9,0.01,3.8,0.02,3.44,0.01,
3.95,0.01,3.85,0.02,3.46,0.01,
4.0,0.01,3.9,0.02,3.49,0.01,
4.0,0.01,3.95,0.02,3.51,0.01,
4.05,0.01,3.98,0.02,3.53,0.01,
4.1,0.01,4.03,0.02,3.57,0.01,
4.15,0.01,4.08,0.02,3.61,0.01,
4.2,0.01,4.12,0.02,3.63,0.01,
4.25,0.01,4.17,0.02,3.66,0.01,
4.3,0.01,4.21,0.02,3.68,0.01,
4.35,0.01,4.25,0.02,3.7,0.01,
4.4,0.01,4.3,0.02,3.72,0.01,
4.45,0.01,4.35,0.02,3.76,0.01,
4.45,0.01,4.4,0.02,3.8,0.01,
4.5,0.01,4.43,0.02,3.81,0.01,
4.55,0.01,4.47,0.02,3.85,0.01,
4.6,0.01,4.52,0.02,3.89,0.01,
4.65,0.01,4.56,0.02,3.91,0.01,
4.7,0.01,4.61,0.02,3.94,0.01,
4.75,0.01,4.66,0.02,3.98,0.01,
4.8,0.01,4.7,0.02,4.01,0.01,
4.85,0.01,4.75,0.02,4.06,0.01,
4.9,0.01,4.8,0.02,4.09,0.01,
4.9,0.01,4.85,0.02,4.11,0.01,
4.95,0.0,4.9,0.02,4.13,0.01,
5.0,0.0,4.94,0.02,4.15,0.01,
5.05,0.0,4.99,0.02,4.2,0.01,
5.1,0.0,5.03,0.02,4.23,0.01,
5.15,0.0,5.08,0.02,4.26,0.01,
5.2,0.0,5.13,0.02,4.29,0.01,
5.25,0.0,5.17,0.02,4.31,0.01,
5.3,0.0,5.21,0.02,4.33,0.01,
5.35,0.0,5.26,0.02,4.36,0.01,
5.35,0.0,5.29,0.02,4.39,0.01,
5.4,0.0,5.34,0.02,4.41,0.01,
5.45,0.0,5.38,0.02,4.43,0.01,
5.5,0.0,5.43,0.02,4.46,0.01,
5.55,0.0,5.47,0.02,4.48,0.01,
5.6,0.0,5.52,0.02,4.52,0.01,
5.65,0.0,5.57,0.02,4.54,0.01,
5.7,0.0,5.62,0.02,4.59,0.01,
5.75,0.0,5.66,0.02,4.63,0.01,
5.8,0.0,5.71,0.02,4.66,0.01,
5.8,0.0,5.74,0.02,4.69,0.01,
5.85,0.0,5.79,0.02,4.72,0.01,
5.9,0.0,5.83,0.02,4.73,0.01,
5.95,0.0,5.88,0.02,4.75,0.01,
6.0,0.0,5.92,0.02,4.78,0.01,
6.05,0.0,5.97,0.02,4.81,0.01,
6.1,0.0,6.02,0.02,4.85,0.01,
6.15,0.0,6.07,0.02,4.9,0.01,
6.2,0.0,6.11,0.02,4.93,0.01,
6.25,0.0,6.16,0.02,4.95,0.01,
6.25,0.0,6.19,0.02,4.97,0.01,
6.3,0.0,6.24,0.02,5.01,0.01,
6.35,0.0,6.28,0.02,5.04,0.01,
6.4,0.0,6.33,0.02,5.06,0.01,
6.45,0.0,6.37,0.02,5.08,0.01,
6.5,0.0,6.42,0.02,5.09,0.01,
6.55,0.0,6.47,0.02,5.13,0.01,
6.6,0.0,6.52,0.02,5.16,0.01,
6.65,0.0,6.56,0.02,5.19,0.01,
6.7,0.0,6.61,0.02,5.22,0.01,
6.7,0.0,6.64,0.02,5.24,0.01,
6.75,0.0,6.69,0.02,5.26,0.01,
6.8,0.0,6.73,0.02,5.28,0.01,
6.85,0.0,6.78,0.02,5.29,0.01,
6.9,0.0,6.82,0.02,5.31,0.01,
6.95,0.0,6.87,0.02,5.33,0.01,
7.0,0.0,6.92,0.02,5.37,0.01,
7.05,0.0,6.97,0.02,5.4,0.01,
7.1,0.0,7.01,0.02,5.43,0.01,
7.15,0.0,7.06,0.02,5.46,0.01,
7.15,0.0,7.09,0.02,5.49,0.01,
7.2,0.0,7.14,0.02,5.52,0.01,
7.25,0.0,7.18,0.02,5.55,0.01,
7.3,0.0,7.23,0.02,5.59,0.01,
7.35,0.0,7.27,0.02,5.62,0.01,
7.4,0.0,7.32,0.02,5.65,0.01,
7.45,0.0,7.37,0.02,5.66,0.01,
7.5,0.0,7.42,0.02,5.7,0.01,
7.55,0.0,7.46,0.02,5.72,0.01,
7.6,0.0,7.51,0.02,5.76,0.01,
7.6,0.0,7.54,0.02,5.76,0.01,
7.65,0.0,7.59,0.02,5.79,0.01,
7.7,0.0,7.63,0.02,5.82,0.01,
7.75,0.0,7.68,0.02,5.85,0.01,
7.8,0.0,7.72,0.02,5.89,0.01,
7.85,0.0,7.77,0.02,5.92,0.01,
7.9,0.0,7.82,0.02,5.94,0.01,
7.95,0.0,7.87,0.02,5.98,0.01,
8.0,0.0,7.91,0.02,5.99,0.01,
8.05,0.0,7.96,0.02,6.02,0.01,
8.05,0.0,8.01,0.02,6.06,0.01,
8.1,0.0,8.06,0.02,6.1,0.01,
8.15,0.0,8.1,0.02,6.12,0.01,
8.2,0.0,8.15,0.02,6.16,0.01,
8.25,0.0,8.19,0.02,6.19,0.01,
8.3,0.0,8.23,0.02,6.23,0.01,
8.35,0.0,8.27,0.02,6.26,0.01,
8.4,0.0,8.32,0.02,6.3,0.01,
8.45,0.0,8.36,0.02,6.32,0.01,
8.5,0.0,8.38,0.02,6.36,0.01,
8.5,0.0,8.42,0.02,6.37,0.01,
8.55,0.0,8.47,0.02,6.39,0.01,
8.6,0.0,8.51,0.03,6.4,0.01,
8.65,0.0,8.56,0.03,6.42,0.01,
8.7,0.0,8.61,0.03,6.44,0.01,
8.75,0.0,8.66,0.03,6.48,0.01,
8.8,0.0,8.7,0.03,6.5,0.0,
8.85,0.0,8.75,0.03,6.54,0.0,
8.9,0.0,8.8,0.03,6.55,0.0,
8.95,0.0,8.83,0.03,6.58,0.0,
8.95,0.0,8.87,0.03,6.62,0.0,
9.0,0.01,8.92,0.03,6.64,0.01,
9.05,0.01,8.97,0.03,6.67,0.01,
9.1,0.01,9.02,0.03,6.71,0.01,
9.15,0.01,9.07,0.03,6.76,0.01,
9.2,0.01,9.12,0.03,6.79,0.01,
9.25,0.01,9.16,0.03,6.81,0.01,
9.3,0.01,9.21,0.03,6.82,0.01,
9.35,0.01,9.26,0.03,6.86,0.01,
9.4,0.01,9.29,0.03,6.88,0.01,
9.4,0.01,9.33,0.03,6.92,0.01,
9.45,0.0,9.37,0.03,6.95,0.01,
9.5,0.0,9.42,0.03,6.97,0.01,
9.55,0.0,9.47,0.03,6.99,0.01,
9.6,0.0,9.52,0.03,7.02,0.01,
9.65,0.0,9.57,0.03,7.02,0.01,
9.7,0.0,9.61,0.03,7.04,0.01,
9.75,0.0,9.66,0.03,7.07,0.01,
9.8,0.0,9.71,0.03,7.09,0.01,
9.85,0.0,9.74,0.03,7.14,0.01,
9.85,0.0,9.78,0.03,7.16,0.01,
9.9,0.0,9.82,0.03,7.18,0.01,
9.95,0.0,9.87,0.03,7.22,0.01,
10.0,0.0,9.92,0.03,7.25,0.01,
10.05,0.0,9.97,0.03,7.28,0.01,
10.1,0.0,10.02,0.03,7.3,0.01,
10.15,0.0,10.06,0.03,7.33,0.01,
10.2,0.0,10.11,0.03,7.38,0.01,
10.25,0.0,10.16,0.03,7.41,0.01,
10.3,0.0,10.21,0.03,7.43,0.01,
10.3,0.0,10.25,0.03,7.46,0.01,
10.35,0.0,10.28,0.03,7.51,0.01,
10.4,0.0,10.33,0.03,7.55,0.01,
10.45,0.0,10.38,0.03,7.58,0.01,
10.5,0.0,10.43,0.03,7.6,0.01,
10.55,0.0,10.48,0.03,7.63,0.01,
10.6,0.0,10.52,0.03,7.65,0.01,
10.65,0.0,10.57,0.03,7.68,0.01,
10.7,0.0,10.6,0.03,7.69,0.01,
10.75,0.0,10.65,0.03,7.72,0.01,
10.75,0.0,10.7,0.03,7.75,0.01,
10.8,0.0,10.73,0.03,7.8,0.01,
10.85,0.0,10.78,0.03,7.82,0.01,
10.9,0.0,10.83,0.03,7.84,0.01,
10.95,0.0,10.88,0.03,7.87,0.01,
11.0,0.0,10.93,0.03,7.89,0.01,
11.05,0.0,10.97,0.03,7.91,0.01,
11.1,0.0,11.02,0.03,7.93,0.01,
11.15,0.0,11.05,0.03,7.96,0.01,
11.2,0.0,11.09,0.03,8.0,0.01,
11.2,0.0,11.13,0.03,8.02,0.01,
11.25,0.0,11.15,0.03,8.05,0.01,
11.3,0.0,11.2,0.03,8.08,0.01,
11.35,0.0,11.25,0.03,8.11,0.01,
11.4,0.0,11.3,0.03,8.13,0.01,
11.45,0.0,11.35,0.03,8.17,0.01,
11.5,0.0,11.39,0.03,8.18,0.01,
11.55,0.0,11.44,0.03,8.22,0.01,
11.6,0.0,11.48,0.03,8.24,0.01,
11.65,0.0,11.53,0.03,8.27,0.01,
11.65,0.0,11.58,0.03,8.31,0.01,
11.7,0.0,11.6,0.03,8.34,0.01,
11.75,0.0,11.65,0.03,8.38,0.01,
11.8,0.0,11.7,0.03,8.43,0.01,
11.85,0.0,11.75,0.03,8.45,0.01,
11.9,0.0,11.8,0.03,8.49,0.01,
11.95,0.0,11.84,0.03,8.53,0.01,
12.0,0.0,11.89,0.03,8.55,0.01,
12.05,0.0,11.93,0.03,8.6,0.01,
12.1,0.0,11.98,0.03,8.64,0.01,
12.1,0.0,12.03,0.03,8.66,0.01,
12.15,0.0,12.05,0.03,8.7,0.01,
12.2,0.0,12.1,0.03,8.72,0.01,
12.25,0.0,12.15,0.03,8.75,0.01,
12.3,0.0,12.2,0.03,8.8,0.01,
12.35,0.0,12.25,0.03,8.85,0.01,
12.4,0.0,12.29,0.03,8.87,0.01,
12.45,0.0,12.34,0.03,8.9,0.01,
12.5,0.0,12.38,0.03,8.93,0.01,
12.55,0.0,12.43,0.03,8.98,0.01,
12.55,0.0,12.48,0.03,9.0,0.01,
12.6,0.0,12.52,0.03,9.03,0.01,
12.65,0.0,12.57,0.03,9.04,0.01,
12.7,0.0,12.62,0.03,9.07,0.01,
12.75,0.0,12.67,0.03,9.11,0.01,
12.8,0.0,12.72,0.03,9.14,0.01,
12.85,0.0,12.76,0.03,9.17,0.01,
12.9,0.0,12.81,0.03,9.21,0.01,
12.95,0.0,12.86,0.03,9.23,0.01,
13.0,0.0,12.91,0.03,9.27,0.01,
13.0,0.0,12.94,0.03,9.3,0.01,
13.05,0.0,12.98,0.03,9.33,0.01,
13.1,0.0,13.03,0.03,9.37,0.01,
13.15,0.0,13.08,0.03,9.4,0.01,
13.2,0.0,13.13,0.03,9.44,0.01,
13.25,0.0,13.18,0.03,9.47,0.01,
13.3,0.0,13.22,0.03,9.5,0.01,
13.35,0.0,13.26,0.03,9.53,0.01,
13.4,0.0,13.31,0.03,9.55,0.01,
13.45,0.0,13.36,0.03,9.59,0.01,
13.45,0.0,13.39,0.03,9.62,0.01,
13.5,0.0,13.43,0.03,9.66,0.01,
13.55,0.0,13.48,0.03,9.68,0.01,
13.6,0.0,13.53,0.03,9.71,0.01,
13.65,0.0,13.58,0.03,9.73,0.01,
13.7,0.0,13.63,0.03,9.76,0.01,
13.75,0.0,13.67,0.03,9.78,0.01,
13.8,0.0,13.71,0.03,9.81,0.01,
13.85,0.0,13.76,0.03,9.84,0.01,
13.9,0.0,13.81,0.03,9.87,0.01,
13.9,0.0,13.84,0.03,9.9,0.01,
13.95,0.0,13.88,0.03,9.94,0.01,
14.0,0.0,13.93,0.03,9.98,0.01,
14.05,0.0,13.98,0.03,10.0,0.01,
14.1,0.0,14.03,0.03,10.05,0.01,
14.15,0.0,14.08,0.03,10.08,0.01,
14.2,0.0,14.13,0.03,10.1,0.01,
14.25,0.0,14.17,0.03,10.11,0.01,
14.3,0.0,14.22,0.03,10.14,0.01,
14.35,0.0,14.27,0.03,10.18,0.01,
14.35,0.0,14.3,0.03,10.2,0.01,
14.4,0.0,14.34,0.03,10.22,0.01,
14.45,0.0,14.38,0.03,10.23,0.01,
14.5,0.0,14.42,0.03,10.25,0.01,
14.55,0.0,14.47,0.03,10.29,0.01,
14.6,0.0,14.51,0.03,10.33,0.01,
14.65,0.0,14.56,0.03,10.37,0.01,
14.7,0.0,14.6,0.03,10.41,0.01,
14.75,0.0,14.65,0.03,10.44,0.01,
14.8,0.0,14.7,0.03,10.46,0.01,
14.8,0.0,14.73,0.03,10.48,0.01,
14.85,0.0,14.78,0.03,10.52,0.01,
14.9,0.0,14.83,0.03,10.55,0.01,
14.95,0.0,14.87,0.03,10.58,0.01,
15.0,0.0,14.92,0.03,10.61,0.01,
15.05,0.0,14.96,0.03,10.64,0.01,
15.1,0.0,15.01,0.03,10.68,0.01,
15.15,0.0,15.06,0.03,10.71,0.01,
15.2,0.0,15.11,0.03,10.75,0.01,
15.25,0.0,15.16,0.03,10.78,0.01,
15.25,0.0,15.21,0.03,10.8,0.01,
15.3,0.0,15.26,0.03,10.83,0.0,
15.35,0.0,15.31,0.03,10.86,0.0,
15.4,0.0,15.35,0.03,10.87,0.0,
15.45,0.0,15.4,0.03,10.89,0.0,
15.5,0.0,15.44,0.03,10.92,0.0,
15.55,0.0,15.48,0.03,10.94,0.0,
15.6,0.0,15.53,0.03,10.97,0.0,
15.65,0.0,15.58,0.03,11.01,0.0,
15.7,0.0,15.61,0.02,11.04,0.0,
15.7,0.0,15.65,0.02,11.06,0.0,
15.75,0.0,15.69,0.02,11.08,0.0,
15.8,0.0,15.73,0.02,11.11,0.0,
15.85,0.0,15.77,0.02,11.14,0.0,
15.9,0.0,15.82,0.02,11.17,0.0,
15.95,0.0,15.86,0.02,11.19,0.0,
16.0,0.0,15.9,0.02,11.23,0.0,
16.05,0.0,15.95,0.02,11.26,0.0,
16.1,0.0,16.0,0.02,11.3,0.0,
16.15,0.0,16.04,0.02,11.34,0.0,
16.15,0.0,16.09,0.02,11.35,0.0,
16.2,0.0,16.14,0.02,11.37,0.0,
16.25,0.0,16.18,0.02,11.41,0.0,
16.3,0.0,16.22,0.02,11.45,0.0,
16.35,0.0,16.27,0.02,11.47,0.0,
16.4,0.0,16.31,0.02,11.51,0.0,
16.45,0.0,16.35,0.02,11.55,0.0,
16.5,0.0,16.4,0.02,11.56,0.0,
16.55,0.0,16.45,0.02,11.6,0.01,
16.6,0.0,16.49,0.02,11.64,0.01,
16.6,0.0,16.54,0.02,11.66,0.01,
16.65,0.0,16.59,0.02,11.7,0.01,
16.7,0.0,16.63,0.02,11.71,0.01,
16.75,0.0,16.67,0.02,11.75,0.01,
16.8,0.0,16.72,0.02,11.76,0.01,
16.85,0.0,16.76,0.02,11.79,0.01,
16.9,0.0,16.8,0.02,11.8,0.01,
16.95,0.0,16.84,0.02,11.84,0.01,
17.0,0.0,16.88,0.02,11.87,0.01,
17.05,0.0,16.91,0.02,11.89,0.01,
17.05,0.0,16.96,0.02,11.91,0.01,
17.1,0.0,17.01,0.02,11.93,0.01,
17.15,0.0,17.05,0.02,11.94,0.01,
17.2,0.0,17.08,0.02,11.97,0.01,
17.25,0.0,17.11,0.02,12.0,0.01,
17.3,0.0,17.13,0.02,12.05,0.01,
17.35,0.0,17.17,0.02,12.07,0.01,
17.4,0.0,17.22,0.02,12.1,0.01,
17.45,0.0,17.27,0.02,12.14,0.01,
17.5,0.0,17.3,0.02,12.18,0.01,
17.5,0.0,17.35,0.02,12.2,0.01,
17.55,0.0,17.4,0.02,12.24,0.01,
17.6,0.0,17.45,0.02,12.28,0.01,
17.65,0.0,17.5,0.02,12.32,0.01,
17.7,0.0,17.55,0.02,12.33,0.01,
17.75,0.0,17.58,0.02,12.35,0.01,
17.8,0.0,17.62,0.02,12.38,0.01,
17.85,0.0,17.67,0.02,12.42,0.01,
17.9,0.0,17.72,0.02,12.44,0.01,
17.95,0.0,17.77,0.02,12.46,0.01,
17.95,0.0,17.82,0.02,12.49,0.01,
18.0,0.0,17.87,0.02,12.51,0.01,
18.05,0.0,17.92,0.02,12.53,0.01,
18.1,0.0,17.97,0.02,12.55,0.01,
18.15,0.0,18.02,0.02,12.58,0.01,
18.2,0.0,18.05,0.02,12.61,0.01,
18.25,0.0,18.08,0.02,12.63,0.01,
18.3,0.0,18.12,0.02,12.65,0.01,
18.35,0.0,18.15,0.02,12.69,0.01,
18.4,0.0,18.2,0.02,12.7,0.01,
18.4,0.0,18.25,0.02,12.72,0.01,
18.45,0.0,18.3,0.02,12.75,0.01,
18.5,0.0,18.35,0.02,12.77,0.01,
18.55,0.0,18.4,0.02,12.8,0.01,
18.6,0.0,18.45,0.02,12.83,0.01,
18.65,0.0,18.5,0.02,12.85,0.01,
18.7,0.0,18.54,0.02,12.88,0.01,
18.75,0.0,18.58,0.02,12.91,0.01,
18.8,0.0,18.61,0.02,12.96,0.01,
18.85,0.0,18.66,0.02,12.99,0.01,
18.85,0.0,18.71,0.02,13.02,0.01,
18.9,0.0,18.76,0.02,13.04,0.01,
18.95,0.0,18.81,0.02,13.08,0.01,
19.0,0.0,18.86,0.02,13.11,0.01,
19.05,0.0,18.9,0.02,13.14,0.01,
19.1,0.0,18.95,0.02,13.18,0.01,
19.15,0.0,18.99,0.02,13.21,0.01,
19.2,0.0,19.03,0.02,13.24,0.01,
19.25,0.0,19.06,0.02,13.27,0.01,
19.3,0.0,19.11,0.02,13.29,0.01,
19.3,0.0,19.16,0.02,13.33,0.01,
19.35,0.0,19.21,0.02,13.34,0.01,
19.4,0.0,19.26,0.02,13.37,0.01,
19.45,0.0,19.31,0.02,13.39,0.01,
19.5,0.0,19.35,0.02,13.41,0.01,
19.55,0.0,19.4,0.02,13.43,0.01,
19.6,0.0,19.44,0.02,13.46,0.01,
19.65,0.0,19.48,0.02,13.49,0.01,
19.7,0.0,19.5,0.02,13.51,0.01,
19.75,0.0,19.54,0.02,13.54,0.01,
19.75,0.0,19.58,0.02,13.57,0.01,
19.8,0.0,19.63,0.02,13.59,0.01,
19.85,0.0,19.68,0.02,13.61,0.01,
19.9,0.0,19.73,0.02,13.65,0.01,
19.95,0.0,19.77,0.02,13.66,0.01,
20.0,0.0,19.82,0.02,13.69,0.01,
20.05,0.0,19.86,0.02,13.72,0.01,
20.1,0.0,19.91,0.02,13.75,0.01,
20.15,0.0,19.96,0.02,13.78,0.01,
20.2,0.0,20.01,0.02,13.83,0.01,
20.2,0.0,20.05,0.02,13.85,0.01,
20.25,0.0,20.09,0.02,13.86,0.01,
20.3,0.0,20.13,0.02,13.89,0.01,
20.35,0.0,20.17,0.02,13.92,0.01,
20.4,0.0,20.21,0.02,13.96,0.01,
20.45,0.0,20.26,0.02,14.0,0.01,
20.5,0.0,20.3,0.02,14.04,0.01,
20.55,0.0,20.32,0.02,14.08,0.01,
20.6,0.0,20.36,0.02,14.11,0.01,
20.65,0.0,20.4,0.02,14.15,0.01,
20.65,0.0,20.44,0.02,14.2,0.01,
20.7,0.0,20.48,0.02,14.24,0.01,
20.75,0.0,20.52,0.02,14.27,0.01,
20.8,0.0,20.56,0.02,14.29,0.01,
20.85,0.0,20.6,0.02,14.31,0.01,
20.9,0.0,20.65,0.02,14.33,0.0,
20.95,0.0,20.7,0.02,14.36,0.0,
21.0,0.0,20.73,0.02,14.39,0.0,
21.05,0.0,20.78,0.02,14.43,0.0,
21.1,0.0,20.83,0.02,14.45,0.0,
21.1,0.0,20.88,0.02,14.48,0.0,
21.15,0.0,20.93,0.02,14.49,0.0,
21.2,0.0,20.97,0.02,14.51,0.0,
21.25,0.0,21.01,0.02,14.53,0.0,
21.3,0.0,21.05,0.02,14.56,0.0,
21.35,0.0,21.09,0.02,14.61,0.0,
21.4,0.0,21.13,0.02,14.63,0.0,
21.45,0.0,21.15,0.02,14.67,0.0,
21.5,0.0,21.2,0.02,14.69,0.0,
21.55,0.0,21.25,0.02,14.7,0.0,
21.55,0.0,21.3,0.02,14.73,0.0,
21.6,0.0,21.35,0.02,14.74,0.0,
21.65,0.0,21.39,0.02,14.76,0.0,
21.7,0.0,21.43,0.02,14.79,0.0,
21.75,0.0,21.48,0.02,14.8,0.0,
21.8,0.0,21.53,0.02,14.81,0.0,
21.85,0.0,21.58,0.02,14.84,0.0,
21.9,0.0,21.6,0.02,14.87,0.0,
21.95,0.0,21.65,0.02,14.89,0.0,
22.0,0.0,21.7,0.02,14.91,0.0,
22.0,0.0,21.75,0.02,14.95,0.0,
22.05,0.0,21.8,0.02,14.99,0.0,
22.1,0.0,21.84,0.02,14.99,0.0,
22.15,0.0,21.88,0.02,15.01,0.0,
22.2,0.0,21.93,0.02,15.04,0.0,
22.25,0.0,21.98,0.02,15.05,0.0,
22.3,0.0,22.03,0.02,15.07,0.0,
22.35,0.0,22.07,0.02,15.11,0.0,
22.4,0.0,22.12,0.02,15.13,0.0,
22.45,0.0,22.17,0.02,15.14,0.0,
22.45,0.0,22.22,0.02,15.14,0.0,
22.5,0.0,22.27,0.02,15.18,0.0,
22.55,0.0,22.31,0.02,15.22,0.0,
22.6,0.0,22.34,0.02,15.24,0.0,
22.65,0.0,22.38,0.02,15.26,0.0,
22.7,0.0,22.42,0.02,15.28,0.0,
22.75,0.0,22.44,0.02,15.29,0.0,
22.8,0.0,22.48,0.02,15.31,0.0,
22.85,0.0,22.53,0.02,15.35,0.0,
22.9,0.0,22.58,0.02,15.37,0.0,
22.9,0.0,22.63,0.02,15.42,0.0,
22.95,0.0,22.68,0.02,15.44,0.0,
23.0,0.0,22.73,0.02,15.46,0.0,
23.05,0.0,22.77,0.02,15.47,0.0,
23.1,0.0,22.82,0.02,15.49,0.0,
23.15,0.0,22.87,0.02,15.52,0.0,
23.2,0.0,22.89,0.02,15.54,0.0,
23.25,0.0,22.93,0.02,15.57,0.0,
23.3,0.0,22.97,0.02,15.57,0.0,
23.35,0.0,23.01,0.02,15.59,0.0,
23.35,0.0,23.05,0.02,15.61,0.0,
23.4,0.0,23.1,0.02,15.64,0.0,
23.45,0.0,23.15,0.02,15.67,0.0,
23.5,0.0,23.19,0.02,15.68,0.0,
23.55,0.0,23.24,0.02,15.71,0.0,
23.6,0.0,23.29,0.02,15.73,0.0,
23.65,0.0,23.31,0.02,15.76,0.0,
23.7,0.0,23.36,0.02,15.79,0.0,
23.75,0.0,23.41,0.02,15.8,0.0,
23.8,0.0,23.46,0.02,15.82,0.0,
23.8,0.0,23.5,0.02,15.83,0.0,
23.85,0.0,23.55,0.02,15.86,0.0,
23.9,0.0,23.6,0.02,15.91,0.0,
23.95,0.0,23.64,0.02,15.92,0.0,
24.0,0.0,23.68,0.02,15.93,0.0,
24.05,0.0,23.72,0.02,15.97,0.0,
24.1,0.0,23.73,0.02,16.0,0.0,
24.15,0.0,23.78,0.02,16.02,0.0,
24.2,0.0,23.83,0.02,16.03,0.0,
24.25,0.0,23.88,0.02,16.05,0.0,
24.25,0.0,23.92,0.02,16.08,0.0,
24.3,0.0,23.97,0.02,16.09,0.0,
24.35,0.0,24.02,0.02,16.11,0.0,
24.4,0.0,24.07,0.02,16.14,0.0,
24.45,0.0,24.12,0.02,16.14,0.0,
24.5,0.0,24.17,0.02,16.17,0.0,
24.55,0.0,24.2,0.02,16.18,0.0,
24.6,0.0,24.25,0.02,16.22,0.0,
24.65,0.0,24.3,0.02,16.24,0.0,
24.7,0.0,24.35,0.02,16.25,0.0,
24.7,0.0,24.39,0.02,16.28,0.0,
24.75,0.0,24.43,0.02,16.31,0.0,
24.8,0.0,24.48,0.02,16.32,0.0,
24.85,0.0,24.53,0.02,16.36,0.0,
24.9,0.0,24.58,0.02,16.4,0.0,
24.95,0.0,24.61,0.02,16.4,0.0,
25.0,0.0,24.64,0.02,16.43,0.0,
25.05,0.0,24.69,0.02,16.44,0.0,
